p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.36E-28	1.51900271297865	0.38	0.02	7.76E-24	B Cells	SP140
8.98E-41	1.50228110234327	0.577	0.036	2.95E-36	B Cells	IKZF3
2.83E-51	1.50187475090076	0.366	0.002	9.31E-47	B Cells	TNFRSF13B
2.87E-21	1.48304320263101	0.352	0.023	9.45E-17	B Cells	PHACTR1
2.31E-31	1.45554156564484	0.38	0.013	7.59E-27	B Cells	CYBB
1.4E-26	1.45041915506026	0.563	0.105	4.6E-22	B Cells	SP110
2.86E-29	1.44659889459453	0.38	0.016	9.41E-25	B Cells	RASSF2
7.83E-31	1.4420604268386	0.662	0.135	2.57E-26	B Cells	STK17B
1.34E-27	1.44067517619381	0.394	0.024	4.41E-23	B Cells	LRMP
6.63E-38	1.43718519121639	0.465	0.017	2.18E-33	B Cells	CD37
1.53E-17	1.43576221448831	0.634	0.303	5.04E-13	B Cells	RPS29
3.08E-26	1.43427255518465	0.817	0.368	1.01E-21	B Cells	RPS18
7.92E-28	1.43135084287587	0.451	0.063	2.6E-23	B Cells	HLA-DMA
3.57E-21	1.42798395854005	0.62	0.156	1.17E-16	B Cells	REL
6.12E-39	1.42772835617267	0.493	0.022	2.01E-34	B Cells	ARHGAP25
1.38E-31	1.42304652653171	0.873	0.415	4.53E-27	B Cells	RPS19
2.12E-23	1.4218855360047	0.394	0.041	6.97E-19	B Cells	PPP1R16B
3.52E-29	1.41767101856979	0.718	0.232	1.16E-24	B Cells	RPL28
2.05E-28	1.41362303630956	0.423	0.04	6.75E-24	B Cells	HLA-DMB
8.49E-18	1.41300186579344	0.493	0.157	2.79E-13	B Cells	SMAP2
5.88E-26	1.40700860487098	0.592	0.11	1.93E-21	B Cells	TCF4
4.33E-26	1.40631018124673	0.465	0.041	1.42E-21	B Cells	CD69
8.03E-12	1.40298847380257	0.296	0.039	0.000000264	B Cells	TTN
8.45E-22	1.40052255007667	0.423	0.039	2.78E-17	B Cells	SLC2A3
7.99E-19	1.39533203642194	0.507	0.139	2.62E-14	B Cells	RASGEF1B
1.11E-30	1.3872943693712	0.845	0.402	3.66E-26	B Cells	RPL11
3.68E-39	1.37905665535917	0.423	0.012	1.21E-34	B Cells	WDFY4
1.11E-26	1.3758243248902	0.69	0.213	3.65E-22	B Cells	KIAA1551
8.28E-27	1.37552075530296	0.775	0.294	2.72E-22	B Cells	RPL32
1.61E-16	1.35892499079694	0.62	0.311	5.3E-12	B Cells	KLF6
2.83E-20	1.35199761535865	0.296	0.015	9.3E-16	B Cells	GPR183
3.58E-22	1.35113037088019	0.549	0.129	1.18E-17	B Cells	STK17A
2.5E-24	1.33956438891717	0.718	0.259	8.23E-20	B Cells	RPS2
1.17E-25	1.33868536367814	0.761	0.334	3.84E-21	B Cells	RPS23
2.55E-27	1.33822094790369	0.648	0.137	8.39E-23	B Cells	ARHGDIB
5.2E-19	1.33623109101406	0.803	0.45	1.71E-14	B Cells	HSPH1
3.12E-30	1.32524903139081	0.873	0.515	1.03E-25	B Cells	RPS6
1.4E-17	1.31679533141357	0.451	0.092	4.59E-13	B Cells	RPL39
3.68E-24	1.3114630172421	0.408	0.042	1.21E-19	B Cells	SESN3
4.96E-48	1.31139808989754	0.394	0.004	1.63E-43	B Cells	CXCR5
1.82E-15	1.30337797263035	0.282	0.032	5.98E-11	B Cells	RFTN1
5.69E-28	1.29985229177274	0.352	0.013	1.87E-23	B Cells	ADAM19
1.21E-29	1.29490375928214	0.352	0.017	3.96E-25	B Cells	CD19
1.12E-31	1.29154647739308	0.845	0.472	3.68E-27	B Cells	RPS11
2.09E-25	1.29042350058165	0.465	0.053	6.87E-21	B Cells	ETS1
3.11E-22	1.2891667373651	0.62	0.234	1.02E-17	B Cells	TRA2B
7.42E-17	1.28661291951845	0.324	0.031	2.44E-12	B Cells	SERPINB9
2.05E-27	1.28515692779873	0.859	0.396	6.75E-23	B Cells	RPL13
4.35E-19	1.28478300916299	0.563	0.217	1.43E-14	B Cells	ELF1
7.47E-22	1.27591286321237	0.535	0.1	2.45E-17	B Cells	HLA-DRB5
1.99E-16	1.27501010753607	0.408	0.111	6.55E-12	B Cells	SAMD9L
4.87E-26	1.27450926700527	0.366	0.019	1.6E-21	B Cells	PDE4B
2.38E-24	1.27059743250488	0.831	0.378	7.83E-20	B Cells	RPL23
3.7E-15	1.2668621840508	0.423	0.114	1.22E-10	B Cells	HIF1A
7.99E-24	1.253610325245	0.817	0.398	2.63E-19	B Cells	RPL13A
1.07E-13	1.25358208517397	0.465	0.123	0.00000000352	B Cells	NR4A1
1.07E-25	1.25117607473933	0.338	0.014	3.52E-21	B Cells	HLA-DQA2
4.28E-16	1.25046468105491	0.606	0.22	1.41E-11	B Cells	RPL26
1.04E-22	1.24964015929836	0.803	0.429	3.41E-18	B Cells	RPLP1
1.47E-20	1.249107068113	0.423	0.075	4.83E-16	B Cells	PIKFYVE
1.01E-15	1.24585324778383	0.493	0.143	3.32E-11	B Cells	RIPOR2
1.78E-20	1.2450793331378	0.423	0.055	5.86E-16	B Cells	CELF2
1.35E-22	1.24335734006415	0.423	0.051	4.43E-18	B Cells	6-Sep
2.04E-31	1.24309482781661	0.394	0.022	6.72E-27	B Cells	RAC2
3.97E-18	1.24064565019334	0.761	0.388	1.3E-13	B Cells	ACTB
2.3E-32	1.24055132480081	0.338	0.007	7.57E-28	B Cells	PARP15
8.49E-17	1.23664525538088	0.549	0.206	2.79E-12	B Cells	GRB2
1.37E-21	1.2362069036736	0.423	0.052	4.49E-17	B Cells	CIITA
5.04E-17	1.22361797158378	0.451	0.099	1.66E-12	B Cells	SLC38A1
4.93E-15	1.22344709727667	0.563	0.198	1.62E-10	B Cells	SMCHD1
2.21E-15	1.21330020588946	0.521	0.174	7.27E-11	B Cells	TSC22D3
8.04E-11	1.21305383684917	0.479	0.185	0.00000264	B Cells	RPL41
2.61E-19	1.20560717783515	0.803	0.422	8.57E-15	B Cells	RPL34
9.84E-26	1.20475430707954	0.408	0.034	3.23E-21	B Cells	POU2F2
1.32E-11	1.20121443490667	0.31	0.099	0.000000433	B Cells	CREM
3.72E-16	1.20111392192036	0.592	0.221	1.22E-11	B Cells	7-Sep
3.42E-18	1.19844698105259	0.338	0.046	1.12E-13	B Cells	PXK
2.32E-22	1.19834100396198	0.761	0.385	7.64E-18	B Cells	RPLP2
8.97E-20	1.19577364371837	0.521	0.196	2.95E-15	B Cells	MOB1A
5.09E-18	1.19512068728995	0.648	0.293	1.67E-13	B Cells	BTG1
5.59E-16	1.19376830695661	0.549	0.179	1.84E-11	B Cells	IER5
2.8E-23	1.19299477875319	0.831	0.534	9.19E-19	B Cells	HSP90AB1
1.1E-17	1.19289769904689	0.577	0.184	3.61E-13	B Cells	MBNL1
1.78E-23	1.19230441747967	0.761	0.369	5.84E-19	B Cells	EEF2
3.73E-22	1.19190147026724	0.408	0.044	1.23E-17	B Cells	INPP5D
3E-22	1.18791197115278	0.746	0.39	9.86E-18	B Cells	RPS4X
4.77E-14	1.18535542153758	0.408	0.118	0.00000000157	B Cells	CHORDC1
9.64E-22	1.17530879109865	0.775	0.363	3.17E-17	B Cells	RPS20
4.62E-16	1.17500204565192	0.648	0.29	1.52E-11	B Cells	PARP14
3.18E-14	1.17297753505057	0.634	0.269	0.00000000104	B Cells	RPL12
3.47E-15	1.17159456205359	0.648	0.277	1.14E-10	B Cells	RPL37
6.91E-18	1.17149814467117	0.563	0.195	2.27E-13	B Cells	RPL10
3.6E-19	1.16583314358446	0.577	0.178	1.18E-14	B Cells	TLN1
3.11E-16	1.16579958716005	0.563	0.204	1.02E-11	B Cells	MYCBP2
3.46E-15	1.16535130561774	0.38	0.092	1.14E-10	B Cells	PLEKHA2
9.46E-16	1.16499472325814	0.592	0.208	3.11E-11	B Cells	JUND
8.86E-27	1.16268968763053	0.394	0.025	2.91E-22	B Cells	CD53
3.66E-15	1.15969161305908	0.38	0.063	1.2E-10	B Cells	MSN
2.21E-39	1.15846397146724	0.324	0.004	7.28E-35	B Cells	PAX5
5.31E-22	1.15782138220839	0.761	0.413	1.74E-17	B Cells	RPL19
7.93E-14	1.15480115783274	0.718	0.378	0.00000000261	B Cells	PTMA
1.65E-20	1.15317024821837	0.775	0.385	5.43E-16	B Cells	RPL3
2.12E-20	1.15215831542437	0.775	0.342	6.97E-16	B Cells	SRSF3
2.1E-18	1.14396845097695	0.239	0.009	6.91E-14	B Cells	CCR7
9.6E-20	1.14186945700848	0.732	0.342	3.16E-15	B Cells	RPS3
3.4E-35	1.13855520893742	0.268	0.002	1.12E-30	B Cells	FCRL1
8.39E-17	1.13797449557919	0.324	0.059	2.76E-12	B Cells	SYK
1.38E-12	1.13364624764236	0.268	0.03	0.0000000453	B Cells	LGALS1
8.63E-18	1.13047100698662	0.676	0.318	2.84E-13	B Cells	ARPC2
4.89E-24	1.1297032991158	0.873	0.463	1.61E-19	B Cells	RPS14
4.5E-21	1.12754007792646	0.775	0.405	1.48E-16	B Cells	DNAJA1
5.49E-13	1.12442020179201	0.549	0.227	0.000000018	B Cells	RPS15
2.65E-44	1.12430165267644	0.324	0.002	8.72E-40	B Cells	CD79B
1.01E-14	1.12235257802429	0.521	0.223	3.3E-10	B Cells	GDI2
3.53E-14	1.12016418269328	0.338	0.085	0.00000000116	B Cells	SH3BP5
1.61E-19	1.11992639693208	0.296	0.021	5.28E-15	B Cells	LRRK2
1.72E-10	1.11380627912226	0.268	0.044	0.00000566	B Cells	DGKD
5.13E-20	1.11275705902354	0.732	0.358	1.69E-15	B Cells	RACK1
4.1E-23	1.11254400696145	0.296	0.014	1.35E-18	B Cells	SELL
1.06E-12	1.11225364780724	0.577	0.213	0.0000000348	B Cells	RPS15A
1.76E-28	1.10967800571278	0.38	0.02	5.77E-24	B Cells	PRKCB
7.65E-22	1.10820735617995	0.254	0.008	2.52E-17	B Cells	1-Mar
3.8E-24	1.09681842974569	0.437	0.046	1.25E-19	B Cells	PLCG2
1.22E-15	1.0946077357187	0.69	0.316	4E-11	B Cells	EEF1A1
6.91E-12	1.09280087070112	0.408	0.165	0.000000227	B Cells	ATP2B1
3.17E-14	1.09208387241003	0.366	0.08	0.00000000104	B Cells	KLF2
3.54E-17	1.08710022418741	0.746	0.375	1.16E-12	B Cells	RPL37A
1.44E-25	1.08461533911809	0.155	0	4.72E-21	B Cells	IGHA2
0.00000000109	1.08414570771965	0.282	0.053	0.0000359	B Cells	DUSP2
1.19E-18	1.08406473515966	0.239	0.009	3.9E-14	B Cells	CD86
9.05E-39	1.08393176082808	0.296	0.003	2.98E-34	B Cells	TLR10
7.41E-29	1.08383876327225	0.31	0.009	2.44E-24	B Cells	HVCN1
3.24E-19	1.07623270131123	0.803	0.377	1.07E-14	B Cells	RPL35A
4.46E-16	1.07352250761235	0.648	0.237	1.47E-11	B Cells	RPS27A
8.9E-19	1.06893938152951	0.296	0.019	2.92E-14	B Cells	JAK3
6.38E-23	1.06787833744738	0.873	0.457	2.1E-18	B Cells	PABPC1
3.41E-20	1.06663832616857	0.31	0.018	1.12E-15	B Cells	CYTIP
1.33E-19	1.06608793778187	0.324	0.023	4.36E-15	B Cells	CD48
7.75E-20	1.06228519066629	0.394	0.041	2.55E-15	B Cells	TAGAP
2.22E-15	1.06027324309845	0.761	0.423	7.28E-11	B Cells	RPS12
4.79E-12	1.05958157708068	0.211	0.022	0.000000158	B Cells	LPCAT1
5.14E-22	1.0583482093735	0.282	0.01	1.69E-17	B Cells	LIMD2
1.6E-27	1.0559376208525	0.239	0.003	5.27E-23	B Cells	FCRL3
3.92E-32	1.05500768562121	0.296	0.005	1.29E-27	B Cells	TNFRSF13C
2.35E-14	1.05478221449084	0.239	0.015	7.72E-10	B Cells	TNF
5.87E-17	1.05278267404687	0.493	0.162	1.93E-12	B Cells	NCOA3
4.65E-16	1.04942760765888	0.718	0.35	1.53E-11	B Cells	RPL27A
1.26E-16	1.04797282275052	0.451	0.124	4.14E-12	B Cells	RPL18A
6.03E-15	1.04778250402289	0.493	0.145	1.98E-10	B Cells	RPL23A
1.26E-17	1.04472096527152	0.521	0.166	4.14E-13	B Cells	CDV3
5.13E-19	1.04364833921638	0.225	0.007	1.69E-14	B Cells	CPNE5
9.18E-11	1.03918514925281	0.394	0.129	0.00000302	B Cells	RAPGEF1
6.94E-17	1.03913649057856	0.31	0.028	2.28E-12	B Cells	IKZF1
1.47E-16	1.0373516984583	0.732	0.401	4.85E-12	B Cells	EIF1
1.27E-11	1.034861561586	0.592	0.251	0.000000418	B Cells	FOSB
4.54E-20	1.03451527351666	0.704	0.349	1.49E-15	B Cells	RPS5
1.37E-25	1.0312588105523	0.352	0.02	4.51E-21	B Cells	RCSD1
1.85E-11	1.03086553248069	0.493	0.195	0.000000609	B Cells	RPL36
5.5E-17	1.02840369720146	0.268	0.018	1.81E-12	B Cells	IRF4
3.42E-11	1.02777301358834	0.704	0.415	0.00000112	B Cells	DNAJB1
1.68E-17	1.02703446742155	0.732	0.373	5.51E-13	B Cells	RPL4
1.82E-20	1.02485404577331	0.887	0.471	5.98E-16	B Cells	HLA-E
1.02E-19	1.02168819117389	0.31	0.022	3.34E-15	B Cells	DOCK2
9.33E-18	1.01814202473523	0.338	0.032	3.07E-13	B Cells	DOCK10
1.08E-10	1.01804386429324	0.268	0.041	0.00000355	B Cells	NR4A3
1.52E-29	1.01719092369411	0.31	0.008	5.01E-25	B Cells	RASGRP2
6.12E-11	1.0144875146066	0.423	0.137	0.00000201	B Cells	RPS7
2.94E-10	1.01177000948274	0.507	0.221	0.00000968	B Cells	JMJD1C
5.63E-13	1.0116492322594	0.577	0.268	0.0000000185	B Cells	MCL1
9.12E-17	1.0106090856422	0.704	0.342	3E-12	B Cells	RPL27
7.12E-15	1.00972954633201	0.296	0.034	2.34E-10	B Cells	ARHGAP45
4.75E-11	1.00621416728676	0.211	0.024	0.00000156	B Cells	CGAS
1.22E-17	1.0061193086459	0.408	0.078	4E-13	B Cells	SEMA4D
1.82E-15	1.00568082215496	0.268	0.023	5.98E-11	B Cells	TBC1D10C
2.19E-14	1.00224602021328	0.465	0.18	7.19E-10	B Cells	ITSN2
6.44E-17	1.0019982685301	0.775	0.436	2.12E-12	B Cells	RPL31
2.68E-14	1.00198150106969	0.352	0.077	8.8E-10	B Cells	PTPN6
5E-11	1.00196027091111	0.521	0.26	0.00000164	B Cells	ACTR2
0.00000000241	1.00191103840902	0.423	0.223	0.0000791	B Cells	CD82
1.87E-13	1.00189880818117	0.634	0.289	0.00000000614	B Cells	RPL10A
1.65E-28	0.998937055682726	0.38	0.022	5.44E-24	B Cells	FGD2
2.76E-13	0.998009775784141	0.324	0.071	0.00000000907	B Cells	FCHSD2
3.84E-13	0.997100488168134	0.324	0.075	0.0000000126	B Cells	BMP2K
2.19E-21	0.994152171115947	0.225	0.005	7.21E-17	B Cells	TMEM156
8.54E-13	0.993950932853046	0.62	0.258	0.0000000281	B Cells	RPS25
5.1E-14	0.993061145047063	0.69	0.349	0.00000000168	B Cells	RPS21
3.43E-12	0.99045141300393	0.254	0.026	0.000000113	B Cells	EGR3
4.49E-16	0.988880796342862	0.606	0.27	1.48E-11	B Cells	SP100
3.77E-22	0.988599114010942	0.31	0.019	1.24E-17	B Cells	RELT
1.85E-15	0.988513827641588	0.31	0.04	6.08E-11	B Cells	RAB8B
0.000000236	0.986693120240822	0.296	0.11	0.0077592332079487	B Cells	ATM
4.25E-14	0.986123617451	0.648	0.418	0.0000000014	B Cells	BRD2
0.000000155	0.984842851060192	0.197	0.037	0.005104666692453	B Cells	RASSF3
2.76E-16	0.983948496280029	0.296	0.027	9.09E-12	B Cells	RUNX3
1.94E-21	0.983051094956117	0.268	0.01	6.39E-17	B Cells	LAT2
9.26E-20	0.980611360873347	0.465	0.069	3.04E-15	B Cells	SRGN
0.00000000524	0.976424460679902	0.493	0.23	0.000172243028031558	B Cells	NOP53
4.55E-15	0.975296901375548	0.296	0.028	1.49E-10	B Cells	CCND2
1.51E-12	0.974596070552356	0.479	0.208	0.0000000497	B Cells	PRDM2
0.000000353	0.974347931214782	0.239	0.069	0.011595802127478	B Cells	IL4R
2.86E-10	0.973813968256634	0.282	0.053	0.00000941	B Cells	PIM2
5.21E-15	0.97324268796276	0.38	0.068	1.71E-10	B Cells	EDEM1
1.08E-17	0.973234749599069	0.296	0.02	3.57E-13	B Cells	ARHGAP9
0.00000000685	0.972294835954453	0.239	0.059	0.000225215456729226	B Cells	GBP4
0.00000000602	0.970710838261743	0.31	0.105	0.000198047246619763	B Cells	CCDC50
1.89E-10	0.969567113095178	0.535	0.222	0.0000062	B Cells	CYBA
6.79E-22	0.968598889425329	0.155	0.001	2.23E-17	B Cells	IGLC2
0.0000000473	0.966704653328765	0.282	0.102	0.00155531410732666	B Cells	EPS15
4.5E-21	0.963425514560095	0.338	0.025	1.48E-16	B Cells	PLEKHO1
1.14E-10	0.961863564162971	0.239	0.049	0.00000375	B Cells	LSP1
1.2E-10	0.961462546310272	0.408	0.134	0.00000395	B Cells	CYLD
0.00000661	0.960397146175304	0.282	0.146	0.217311220167108	B Cells	CHD7
3.03E-16	0.960038832964068	0.704	0.36	9.98E-12	B Cells	FAU
0.0000000245	0.959803320119433	0.324	0.113	0.000806567542540799	B Cells	ZBTB1
4.35E-15	0.959596617236868	0.662	0.288	1.43E-10	B Cells	CCNL1
0.00000000276	0.95904379481757	0.437	0.193	0.0000908	B Cells	CHD1
1.92E-11	0.957878904093765	0.31	0.049	0.00000063	B Cells	ANKRD44
8.7E-29	0.957400507367565	0.296	0.007	2.86E-24	B Cells	BTK
2.55E-18	0.956901738160795	0.394	0.055	8.37E-14	B Cells	ARHGAP30
0.00000000198	0.955159169672323	0.352	0.116	0.0000651	B Cells	HECA
5.01E-10	0.954125366304003	0.324	0.142	0.0000165	B Cells	TAP1
1.88E-12	0.9535873685992	0.549	0.227	0.0000000618	B Cells	CMTM6
1.6E-14	0.946256292551473	0.437	0.125	5.25E-10	B Cells	RPL29
1.5E-22	0.945681132736133	0.324	0.02	4.91E-18	B Cells	RASGRP3
2.24E-19	0.945139776174174	0.324	0.027	7.36E-15	B Cells	FMNL3
2.97E-13	0.945136643385305	0.69	0.389	0.00000000975	B Cells	RPL30
4.34E-22	0.943111779548115	0.169	0.001	1.43E-17	B Cells	IGHA1
1.9E-12	0.942782818219729	0.648	0.347	0.0000000623	B Cells	DDX3X
0.00000000209	0.941373859431907	0.324	0.178	0.0000688	B Cells	PPP1R15B
1.57E-19	0.940320456287009	0.31	0.021	5.14E-15	B Cells	ANXA6
1.08E-23	0.940310084032885	0.268	0.009	3.55E-19	B Cells	CCR6
5.02E-11	0.936778805747116	0.338	0.094	0.00000165	B Cells	ODC1
5.86E-12	0.936134928394584	0.493	0.181	0.000000193	B Cells	RSL1D1
1.49E-12	0.935757389489228	0.437	0.13	0.0000000489	B Cells	RPSA
6.27E-11	0.934857261068446	0.423	0.134	0.00000206	B Cells	STK4
5.31E-14	0.932103831470167	0.62	0.262	0.00000000174	B Cells	HNRNPH1
3.53E-25	0.930561389487607	0.282	0.01	1.16E-20	B Cells	HLA-DQB2
0.0000000771	0.930415986173531	0.451	0.264	0.00253448068358921	B Cells	HSPD1
3.2E-12	0.928433050474813	0.535	0.231	0.000000105	B Cells	WSB1
1.1E-15	0.923263346301158	0.704	0.349	3.61E-11	B Cells	RPL38
0.0000000301	0.922901332184179	0.282	0.056	0.00099086062707407	B Cells	CLEC2D
0.00000000113	0.922853722054913	0.437	0.197	0.000037	B Cells	IRF2BP2
1.66E-16	0.921328038151408	0.31	0.037	5.45E-12	B Cells	TMEM131L
3.33E-10	0.920926787757868	0.465	0.23	0.0000109	B Cells	TAPBP
1.09E-11	0.920909941052443	0.408	0.128	0.000000359	B Cells	GGA2
2.48E-12	0.919967877731552	0.324	0.062	0.0000000814	B Cells	IL16
8.88E-11	0.915511601109425	0.549	0.238	0.00000292	B Cells	MYH9
1.04E-14	0.915148302350879	0.31	0.034	3.41E-10	B Cells	PREX1
1.46E-10	0.91512710914185	0.493	0.247	0.00000481	B Cells	RPL7A
3.73E-18	0.914856721551837	0.296	0.021	1.23E-13	B Cells	RHOH
5.41E-12	0.913387120060011	0.704	0.483	0.000000178	B Cells	HSPA8
1.07E-14	0.912141299713429	0.394	0.075	3.53E-10	B Cells	DOCK8
1.06E-18	0.91195495835137	0.352	0.035	3.49E-14	B Cells	WIPF1
2.45E-21	0.911234535569466	0.169	0.002	8.06E-17	B Cells	FCRL4
1.69E-12	0.910491436906158	0.423	0.115	0.0000000555	B Cells	EEF1B2
7.03E-12	0.910349317333871	0.155	0.006	0.000000231	B Cells	CCDC141
0.00000000143	0.908082843672221	0.338	0.12	0.0000469	B Cells	DUSP4
0.0000000229	0.906819750299689	0.338	0.13	0.000751301106354207	B Cells	SMC6
3.12E-16	0.90543121056837	0.479	0.121	1.02E-11	B Cells	VIM
1.26E-11	0.905028462075355	0.479	0.239	0.000000415	B Cells	ACTR3
0.000000055	0.904567864943196	0.338	0.152	0.00180831902793637	B Cells	OGT
4.34E-20	0.902965865525854	0.31	0.022	1.43E-15	B Cells	ITGA4
3.11E-12	0.900870415271666	0.465	0.151	0.000000102	B Cells	FNBP1
0.00000127	0.9002793056178	0.31	0.145	0.0416110587161308	B Cells	TRIM22
0.00000000495	0.900021601152296	0.282	0.094	0.000162685969964164	B Cells	ELMSAN1
1.92E-18	0.897972019408598	0.254	0.016	6.3E-14	B Cells	SKAP2
0.00000977	0.896520612005412	0.366	0.173	0.321044447262928	B Cells	PCF11
0.00000000538	0.895914650732114	0.507	0.24	0.000176988411905908	B Cells	SRSF2
9.11E-12	0.893752644701439	0.493	0.196	0.0000003	B Cells	LYN
0.00000000211	0.888685291729477	0.535	0.257	0.0000695	B Cells	RPL14
1.37E-11	0.887158649885294	0.577	0.271	0.000000449	B Cells	SRSF7
1.2E-11	0.886494780337592	0.352	0.106	0.000000396	B Cells	GM2A
9.02E-15	0.886350427195953	0.704	0.316	2.97E-10	B Cells	RPL35
3.92E-13	0.885481211402787	0.662	0.324	0.0000000129	B Cells	RPS13
3.2E-12	0.885410678791988	0.732	0.452	0.000000105	B Cells	RPS8
4.38E-10	0.885273805983277	0.606	0.302	0.0000144	B Cells	UBA52
0.0000000977	0.884079869753871	0.338	0.148	0.0032115636097141	B Cells	RILPL2
0.0000000141	0.882425151799904	0.254	0.044	0.000464552980825777	B Cells	DENND3
0.0000000129	0.881150408826443	0.394	0.167	0.00042332200425087	B Cells	SWAP70
4.47E-13	0.880447980655635	0.254	0.025	0.0000000147	B Cells	PPP1R18
2.64E-11	0.880427300969671	0.676	0.363	0.000000866	B Cells	RPLP0
0.0000000157	0.879220385565981	0.408	0.193	0.000516690310602541	B Cells	DEK
8.94E-10	0.877635942215829	0.31	0.097	0.0000294	B Cells	MAP3K1
0.000000322	0.87740649318699	0.366	0.155	0.0105845634978359	B Cells	SKIL
3.56E-18	0.877137420107931	0.225	0.01	1.17E-13	B Cells	SPIB
5.87E-18	0.876764790060006	0.254	0.012	1.93E-13	B Cells	EVI2B
0.0000000147	0.876676965027872	0.282	0.072	0.000483622258154884	B Cells	SLC4A7
0.0000000164	0.874504424122162	0.38	0.156	0.000538812529628734	B Cells	PFN1
1.02E-11	0.872552310855047	0.465	0.161	0.000000335	B Cells	SYNGR2
0.00000000159	0.87234147219713	0.507	0.288	0.0000522	B Cells	KMT2E
1.7E-10	0.871402126224182	0.563	0.28	0.0000056	B Cells	TPM3
0.00000000899	0.869888682696442	0.38	0.131	0.000295429726397515	B Cells	LNPEP
5.71E-10	0.86985034112477	0.296	0.066	0.0000188	B Cells	HSH2D
2.38E-20	0.868893479374673	0.254	0.012	7.84E-16	B Cells	FCMR
0.000000022	0.865064743110101	0.183	0.02	0.000721885419590633	B Cells	ITGAX
1.65E-11	0.864972057903227	0.254	0.056	0.000000543	B Cells	CSK
0.0000000211	0.864572364533308	0.507	0.298	0.000692839135479773	B Cells	RSRC2
2.91E-19	0.862281458972093	0.338	0.03	9.57E-15	B Cells	PTPN7
0.0000000499	0.858864736062494	0.225	0.048	0.00164050521664698	B Cells	CKS2
0.000000264	0.858809979475684	0.366	0.144	0.00867791816725172	B Cells	ZC3HAV1
5.9E-10	0.857835421219582	0.676	0.439	0.0000194	B Cells	RPL8
0.000000464	0.855952036185435	0.296	0.097	0.0152440311510167	B Cells	ZBTB10
0.00000012	0.854431552455749	0.451	0.2	0.00393948050416931	B Cells	SLC38A2
2.54E-14	0.854371567546109	0.324	0.043	8.36E-10	B Cells	ACAP1
0.0000000541	0.854281544769349	0.493	0.26	0.00177763318717568	B Cells	TAF7
0.0000000896	0.853062573916894	0.239	0.06	0.00294562210250526	B Cells	CAPG
3.36E-10	0.85223070415834	0.282	0.048	0.0000111	B Cells	ZEB2
5.8E-10	0.851294125123086	0.324	0.095	0.0000191	B Cells	FAM49B
